,Player_ID,GAME_DATE,MIN,REB,FGA,DAYS_REST
422,201566,2013-01-18,45,6,26,-2
423,201566,2013-01-16,28,2,20,-2
424,201566,2013-01-14,36,8,24,-2
425,201566,2013-01-13,34,8,21,-1
426,201566,2013-01-11,35,7,21,-2
427,201566,2013-01-09,30,8,14,-2
428,201566,2013-01-07,40,4,17,-2
429,201566,2013-01-06,35,4,17,-1
430,201566,2013-01-04,34,3,17,-2
431,201566,2013-01-02,42,2,19,-2
432,201566,2012-12-31,33,7,16,-2
433,201566,2012-12-29,30,8,22,-2
434,201566,2012-12-27,42,6,20,-2
435,201566,2012-12-25,43,11,19,-2
436,201566,2012-12-20,44,11,28,-5
437,201566,2012-12-19,39,3,21,-1
438,201566,2012-12-17,37,6,18,-2
439,201566,2012-12-14,32,2,13,-3
440,201566,2012-12-12,37,4,14,-2
441,201566,2012-12-09,34,7,17,-3
442,201566,2012-12-07,40,1,26,-2
443,201566,2012-12-04,34,2,17,-3
444,201566,2012-12-01,30,5,18,-3
445,201566,2012-11-30,39,13,18,-1
446,201566,2012-11-28,36,5,15,-2
447,201566,2012-11-26,22,2,8,-2
448,201566,2012-11-24,42,5,23,-2
449,201566,2012-11-23,38,7,21,-1
450,201566,2012-11-21,42,3,20,-2
451,201566,2012-11-18,36,2,22,-3
452,201566,2012-11-16,28,2,11,-2
453,201566,2012-11-14,43,6,19,-2
454,201566,2012-11-12,44,10,25,-2
455,201566,2012-11-11,40,6,16,-1
456,201566,2012-11-09,31,4,10,-2
457,201566,2012-11-08,36,2,22,-1
458,201566,2012-11-06,29,1,12,-2
459,201566,2012-11-04,36,5,18,-2
460,201566,2012-11-02,35,5,24,-2
461,201566,2012-11-01,37,8,21,-1
462,201939,2013-04-17,32,2,16,0
463,201939,2013-04-15,39,8,23,-2
464,201939,2013-04-12,44,6,31,-3
465,201939,2013-04-11,35,3,18,-1
466,201939,2013-04-09,39,4,21,-2
467,201939,2013-04-07,45,4,19,-2
468,201939,2013-04-05,41,1,15,-2
469,201939,2013-04-03,36,3,14,-2
470,201939,2013-03-30,37,5,22,-4
471,201939,2013-03-27,46,5,18,-3
472,201939,2013-03-25,43,7,24,-2
473,201939,2013-03-23,32,2,18,-2
474,201939,2013-03-20,36,4,20,-3
475,201939,2013-03-18,39,7,19,-2
476,201939,2013-03-17,45,5,22,-1
477,201939,2013-03-15,30,0,13,-2
478,201939,2013-03-13,43,2,17,-2
479,201939,2013-03-11,37,6,18,-2
480,201939,2013-03-09,39,2,18,-2
481,201939,2013-03-08,43,5,21,-1
482,201939,2013-03-06,34,5,11,-2
483,201939,2013-03-04,42,5,16,-2
484,201939,2013-03-02,42,3,20,-2
485,201939,2013-03-01,42,1,22,-1
486,201939,2013-02-27,48,6,28,-2
487,201939,2013-02-26,37,2,20,-1
488,201939,2013-02-24,34,5,15,-2
489,201939,2013-02-22,45,4,17,-2
490,201939,2013-02-20,41,3,16,-2
491,201939,2013-02-19,38,5,22,-1
492,201939,2013-02-12,35,5,19,-7
493,201939,2013-02-09,31,7,23,-3
494,201939,2013-02-08,40,5,22,-1
495,201939,2013-02-06,36,8,20,-2
496,201939,2013-02-05,28,4,12,-1
497,201939,2013-02-02,42,2,20,-3
498,201939,2013-01-28,26,1,12,-5
499,201939,2013-01-26,37,2,19,-2
500,201939,2013-01-25,37,1,18,-1
501,201939,2013-01-23,42,3,27,-2
502,201939,2013-01-21,37,3,14,-2
503,201939,2013-01-19,38,3,17,-2
