
1/9/13,Mavericks,Brandan Wright,,activated from IL
1/9/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/9/13,Raptors,,Terrence Ross,sprained left ankle (DNP)
1/9/13,Timberwolves,,Jose Barea ,back spasms (DNP)
1/9/13,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/9/13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
1/10/13,Blazers,Will Barton,,activated from IL
1/10/13,Cavaliers,,Anderson Varejao,surgery on right knee to repair torn muscle
1/10/13,Heat,,Shane Battier,placed on IL with right hamstring injury
1/10/13,Kings,,Tyler Honeycutt,placed on IL
1/10/13,Kings,Marcus Thornton ,,activated from IL
1/10/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/10/13,Mavericks,,Dominique Jones,placed on IL
1/10/13,Mavericks,Bernard James,,activated from IL
1/11/13,Bobcats,Hakim Warrick,,activated from IL
1/11/13,Grizzlies,Quincy Pondexter,,activated from IL
1/11/13,Hawks,,Anthony Morrow,placed on IL
1/11/13,Hawks,DeShawn Stevenson,,activated from IL
1/11/13,Jazz,,Marvin Williams,right knee inflammation (DNP)
1/11/13,Knicks,,Marcus Camby,strained left foot (DNP)
1/11/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/11/13,Lakers,,Dwight Howard,right shoulder injury (DNP)
1/11/13,Lakers,,Jordan Hill,left hip injury (DNP)
1/11/13,Lakers,,Pau Gasol,concussion (DNP)
1/11/13,Nets,,Kris Humphries,sore left ankle (DNP)
1/11/13,Nets,,Mirza Teletovic,illness (DNP)
1/11/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/11/13,Timberwolves,,Jose Barea ,back spasms (DNP)
1/11/13,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/11/13,Timberwolves,,Lazar Hayward,illness (DNP)
1/11/13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
1/11/13,Warriors,,Andris Biedrins,strained right groin (DNP)
1/11/13,Grizzlies,,Tony Wroten Jr.,placed on IL
1/12/13,Clippers,Grant Hill,,activated from IL
1/12/13,Grizzlies,,Quincy Pondexter,sprained MCL in left knee (DNP)
1/12/13,Jazz,,Marvin Williams,right knee inflammation (DNP)
1/12/13,Kings,,Aaron Brooks,placed on IL with flu
1/12/13,Kings,Tyler Honeycutt,,activated from IL
1/12/13,Magic,,Gustavo Ayon,bruised right thigh (DNP)
1/12/13,Pacers,,Paul George,placed on IL with illness
1/12/13,Pacers,Miles Plumlee,,activated from IL
1/12/13,Suns,,Jared Dudley,right wrist injury (DTD)
1/12/13,Timberwolves,,Malcom Lee,surgery on right knee and right hip (out for season) (date approximate)
1/12/13,Wizards,,Cartier Martin,placed on IL with hyperextended left knee
1/12/13,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/12/13,Wizards,John Wall ,,activated from IL
1/12/13,Wizards,Trevor Booker,,activated from IL
1/13/13,Cavaliers,Daniel Gibson,,activated from IL
1/13/13,Knicks,,Marcus Camby,strained plantar fascia in left foot (DNP)
1/13/13,Knicks,,Rasheed Wallace,sore left foot (DNP)
1/13/13,Lakers,,Jordan Hill,placed on IL with left hip injury
1/13/13,Lakers,,Pau Gasol,concussion (DNP)
1/13/13,Nets,,Gerald Wallace,bruised ribs (DTD)
1/13/13,Nuggets,,Julyan Stone,placed on IL
1/13/13,Nuggets,Wilson Chandler,,activated from IL
1/13/13,Pacers,,Miles Plumlee,placed on IL
1/13/13,Pacers,Paul George,,activated from IL
1/13/13,Thunder,,Serge Ibaka,placed on IL with bruised chest
1/13/13,Thunder,,Thabo Sefolosha,strained neck (DNP)
1/13/13,Timberwolves,,Kevin Love,fractured right hand/finger (DNP)
1/13/13,Timberwolves,,Malcom Lee,hyperextended right knee (DNP)
1/13/13,Warriors,,Andris Biedrins,strained right groin (DNP)
1/13/13,Thunder,Daniel Orton,,activated from IL
1/14/13,Clippers,,Chris Paul,bruised right knee (DNP)
1/14/13,Grizzlies,Quincy Pondexter,,activated from IL
1/14/13,Hawks,,DeShawn Stevenson,sore right knee (DNP)
1/14/13,Kings,,Tyler Honeycutt,placed on IL
1/14/13,Kings,Aaron Brooks,,activated from IL
1/14/13,Magic,,Gustavo Ayon,placed on IL with bruised right thigh
1/14/13,Magic,Glen Davis,,activated from IL
1/14/13,Spurs,,Manu Ginobili,strained left hamstring (out indefinitely)
1/14/13,Suns,,Jared Dudley,strained right wrist (DNP)
1/14/13,Suns,,Jermaine O'Neal,back spasms (DNP)
1/14/13,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/14/13,Wizards,,Trevor Booker,sprained left ankle (DNP)
1/15/13,Clippers,,Chris Paul,bruised right knee (DNP)
1/15/13,Nets,,Gerald Wallace,placed on IL with bruised ribs
1/15/13,Nets,,Tornike Shengelia,placed on IL
1/15/13,Rockets,Patrick Beverley,,activated from IL
1/15/13,Timberwolves,,Kevin Love,surgery to repair fractured right hand/finger
1/16/13,Celtics,Chris Wilcox,,activated from IL
1/16/13,Heat,,Josh Harrellson,placed on IL
1/16/13,Heat,Shane Battier,,activated from IL
1/16/13,Hornets,,Eric Gordon,sore right knee / rest (DNP)
1/16/13,Mavericks,,Dominique Jones,placed on IL (P)
1/16/13,Mavericks,Bernard James,,activated from IL (P)
1/16/13,Nets,Gerald Wallace,,activated from IL
1/16/13,Nuggets,,Wilson Chandler,placed on IL
1/16/13,Nuggets,Julyan Stone,,activated from IL
1/16/13,Raptors,,Linas Kleiza,sore right knee (DNP)
1/16/13,Spurs,,Manu Ginobili,placed on IL with strained left hamstring
1/16/13,Spurs,Cory Joseph,,activated from IL
1/16/13,Thunder,,Daniel Orton,placed on IL
1/16/13,Thunder,Serge Ibaka,,activated from IL
1/16/13,Warriors,,Stephen Curry,sprained right ankle (DNP)
1/16/13,Wizards,,Jordan Crawford,sore left ankle (DNP)
1/16/13,Wizards,,Trevor Booker,sprained left ankle (DNP)
1/17/13,Clippers,,Chris Paul,bruised right knee (DNP)
